Individual,Pair.ID,Treatment,Sex,Order,Day.of.year,Time.of.day,Min.after.sunrise,Latency,Latency_corrected.time,Ptr.lat.cor,Mate_Lat_ap_2m,Dif.dist,ply.clos.app,Int.2m.any,playtime.2m.male,playtime.2m.female,Total.ply.time.2m,N.ply.Duet.Created.,N.terr.playback,Ptr.vocal,ptr.voc.rate,prop.time.spent
CW1,4,D,Male,1,267,801,59,34.377,145.623,66.072,480,1,2,1,39.0475,0,39.0475,0,1,3,0.04540501271340360,0.26814102167926800
CW1,4,MS,Male,2,273,807,59,15.282,164.718,164.718,18.593,4,1.6,1,46.5903,0,46.5903,0,0,3,0.018212945761847500,0.2828488689760680
CW1,4,FS,Male,3,278,732,20,19.934,160.066,160.066,480,0.1,2.9,0,0,0,0,0,0,0,0,0
CW2,4,D,Female,1,267,801,59,113.928,66.072,145.623,66.114,-0.2,2.8,0,0,0,0,0,3,1,0.006867047101076070,0
CW2,4,MS,Female,2,273,807,59,15.282,164.718,164.718,18.593,1.2,1.8,1,1.56,0,1.56,0,3,0,0,0.009470731796160710
CW2,4,FS,Female,3,278,732,20,19.934,160.066,160.066,480,-1.9,3.1,0,0,0,0,0,0,0,0,0
CW3,5,D,Male,3,291,802,38,27.403,152.597,152.132,132.724,-0.2,6.8,0,0,0,0,1,22,3,0.01971971708779220,0
CW3,5,MS,Male,2,286,828,69,10.404,169.596,168.377,480,1.5,7.5,0,0,0,0,4,7,10,0.05939053433663740,0
CW3,5,FS,Male,1,278,912,120,4.997,175.003,164.718,480,4,6,0,0,0,0,1,11,3,0.018212945761847500,0
CW4,5,D,Female,3,291,802,38,27.868,152.132,152.597,480,-3.7808,1.2192,1,0,30.0523,30.0523,3,3,22,0.14417059313092700,0.1975409512791520
CW4,5,MS,Female,2,286,828,69,11.623,168.377,169.596,480,1,8,0,0,0,0,4,10,7,0.04127455836222550,0
CW4,5,FS,Female,1,278,912,120,15.282,164.718,175.003,480,-3.2,3.3,0,0,0,0,2,3,11,0.06285606532459440,0
CW5,6,D,Male,1,286,736,17,44.903,135.097,135.097,480,1.8,1.8,1,41.2529,0,41.2529,1,1,1,0.0074020888694789700,0.30535763192372900
CW5,6,MS,Male,3,298,820,50,40,140,140,480,2.5268,1.4732,1,15.3511,0,15.3511,0,0,20,0.14285714285714300,0.1096507142857140
CW5,6,FS,Male,2,292,806,41,52.982,127.018,125,480,3.238,0.762,1,5,0,5,0,0,1,0.008,0.039364499519753100
CW6,6,D,Female,1,286,736,17,44.903,135.097,135.097,121.923,1.5,2.1,0,0,0,0,0,1,1,0.0074020888694789700,0
CW6,6,MS,Female,3,298,820,50,40,140,140,50.766,3.333,2.667,0,0,0,0,0,20,0,0,0
CW6,6,FS,Female,2,292,806,41,55,125,127.018,101.828,0.8,4,0,0,0,0,0,1,0,0,0
CW7,8,D,Male,3,278,829,67,9.115,170.885,170.885,480,1.1642,0.6858,1,135.5894,0,135.5894,0,3,1,0.005851888697076980,0.7934540773034500
CW7,8,MS,Male,1,267,909,127,240.006,180,47.206,480,3,10,0,0,0,0,0,0,0,0,0
CW7,8,FS,Male,2,273,932,144,35.019,144.981,164.278,37.608,-0.7,1.8,1,0,54.8389,54.8389,0,0,8,0.04869793885973780,0.378248873990385
CW8,8,D,Female,3,278,829,67,9.115,170.885,170.885,36.58,0.3048,4.2672,0,0,0,0,1,1,3,0.017555666091230900,0
CW8,8,MS,Female,1,267,909,127,132.794,47.206,180,245.006,3,12,0,0,0,0,0,0,0,0,0
CW8,8,FS,Female,2,273,932,144,15.722,164.278,144.981,77.53,-2.3,0.1,1,0,161.4384,161.4384,0,8,0,0,0.9827146666017360
CW9,9,D,Male,2,312,802,77,98.341,81.659,168.261,293.062,0,20,0,0,0,0,0,7,0,0,0
CW9,9,MS,Male,1,307,1054,194,25.755,154.245,152.245,480,5,4.0894,0,0,0,0,0,0,1,0.0065683602088738500,0
CW9,9,FS,Male,3,320,1012,199,298.806,180,180,480,2,11,0,0,0,0,0,0,0,0,0
CW10,9,D,Female,2,312,802,77,11.739,168.261,81.659,480,-5,3.7846,0,0,0,0,0,0,7,0.08572233311698650,0
CW10,9,MS,Female,1,307,1054,194,27.755,152.245,154.245,480,5,9.144,0,0,0,0,0,1,0,0,0
CW10,9,FS,Female,3,320,1012,199,247.44,180,180,480,2,11,0,0,0,0,0,0,0,0,0
CW11,11,D,Male,1,280,919,125,33.762,146.238,146.238,134.472,-0.3556,1.8796,1,0,10,0,2,10,12,0.08205801501661680,0
CW11,11,MS,Male,2,285,1038,200,20.386,159.614,28.504,249.827,3.73,1.27,1,38.7521,0,38.7521,1,4,3,0.10524838619141200,0.24278634706228800
CW11,11,FS,Male,3,289,830,68,5.094,174.906,176.906,13.653,-2.3348,0.9652,1,0,138.1584,138.1584,1,8,2,0.01130543904672540,0.7899008610339270
CW12,11,D,Female,1,280,919,125,33.762,146.238,146.238,152.823,-2.1844,1.0668,1,0,48.0797,48.0797,3,12,10,0.06838167918051400,0.3287770620495360
CW12,11,MS,Female,2,285,1038,200,151.496,28.504,159.614,125.466,-1,4,0,0,0,0,2,3,4,0.025060458355783300,0
CW12,11,FS,Female,3,289,830,68,3.094,176.906,174.906,10.675,-1.9364,0.8636,1,0,153.3594,153.3594,1,2,8,0.045738854013012700,0.866897674471188
CW13,14,D,Male,2,314,858,131,7.797,172.203,154.648,119.089,4.75,0,1,126.1656,0,126.1656,0,27,3,0.019398892969841200,0.7326562255012980
CW13,NA,MS,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW13,14,FS,Male,1,309,935,113,306.976,180,54.233,480,0,16,0,0,0,0,0,0,0,0,0
CW14,14,D,Female,2,314,858,131,25.352,154.648,172.203,14.605,-1.5856,0.9144,1,0,97.8124,97.8124,0,3,27,0.15679169352450300,0.63248409290776500
CW14,NA,MS,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW14,14,FS,Female,1,309,935,113,125.767,54.233,180,480,-4.3306,9.1694,0,0,0,0,0,0,0,0,0
CW15,15,D,Male,2,270,817,72,5.059,174.941,167.146,427.524,4.8,0,1,73.3759,0,73.3759,3,32,7,0.04187955440154120,0.41943226573530500
CW15,15,MS,Male,1,265,933,152,9,171,140,480,4.8,0,1,141.1546,0,141.1546,1,23,9,0.06428571428571430,0.8254654970760230
CW15,15,FS,Male,3,278,1042,210,31.915,148.085,94.844,330.779,3.1324,2.1,0,0,0,0,0,0,0,0,0
CW16,15,D,Female,2,270,817,72,12.854,167.146,174.941,108.924,3.1,1.8,1,2,0,2,3,7,32,0.18291881262825800,0.011965586971868900
CW16,15,MS,Female,1,265,933,152,40,140,171,37.13,4.9,2.1,0,0,0,0,5,9,23,0.13450292397660800,0
CW16,15,FS,Female,3,278,1042,210,85.156,94.844,148.085,330.779,3.1324,2.1,0,0,0,0,0,0,0,0,0
CW17,16,D,Male,1,281,1009,174,9.708,170.292,171.292,35.115,-1.2824,1.1176,1,0,30.8441,30.8441,4,29,21,0.12259766947668300,0.1811247739177410
CW17,16,MS,Male,3,293,726,1,41.454,138.546,138.848,480,1.3716,1.905,1,5,0,5,4,21,12,0.08642544365061070,0.03608909676208620
CW17,16,FS,Male,2,288,910,109,30.049,149.951,151.744,40.371,-2.2428,0.4572,1,0,117.8434,117.8434,1,5,18,0.11862083509067900,0.7858793872665070
CW18,16,D,Female,1,281,1009,174,8.708,171.292,170.292,106.846,-4.0206,0.2794,1,0,147.3456,147.3456,14,21,29,0.17029572733892400,0.8602012936973120
CW18,16,MS,Female,3,293,726,1,41.152,138.848,138.546,93.685,-2.0066,1.8288,1,0,3,3,9,12,21,0.15157420640076200,0.021606360912652700
CW18,16,FS,Female,2,288,910,109,28.256,151.744,149.951,40.371,-2.3158,0.5842,1,0,136.3688,136.3688,2,18,5,0.03334422578042160,0.8986767186841000
CW19,17,D,Male,3,279,737,24,11.701,168.299,168.299,480,2.9972,0,1,80.6273,0,80.6273,0,2,2,0.011883611905002400,0.47907177107410000
CW19,17,MS,Male,1,266,902,120,9.054,170.946,170.946,189.182,4.6,0,1,92.6762,0,92.6762,1,10,12,0.07019760626162650,0.5421372831186460
CW19,17,FS,Male,2,274,723,15,47.459,132.541,132.541,102.934,-4.7,0,1,0,79.4556,79.4556,1,4,2,0.015089670366150900,0.5994794063723680
